region;municipality_up_name;municipality_down_name;settlement_name;settlement_name_sep;type;arctic;remote;special;suburb;pop_men;pop_women;pop_total;latitude;longitude;mun_oktmo;sett_oktmo;wage_average;social_share;kindergarden_salary;school_salary;culture_salary;housing_depreciation;emergency_housing;building_construction_space;families_improve;space_per_capita;dtp_deaths_norm;dtp_injury_norm;primary_avaiability;dentists;terapists;pediatricians;support_staff;comments_health_perc;aviation_sun;aviation_center;death_rate;natural_growth;sport_facilities;sport_halls;sport_pools;sport_stadiums;sport_gym;cinemas;libraries;theatres;culture_centers;catering;improving_facilities;disabled_transport;disabled_buildings;lighting;kindergardens_availability;certificate_fail;russian_oge;math_oge;russian_ege;math_ege_base;math_ege_plus;spendings_per_schoolar;additional_education;ecology_spending;ecology_projects;emissions_all;emissions_first;emissions_second;comments_eco_perc;ecology_polygon;investments_per_capita;retail_federal;loss_results;gain_results;unemployed;revenue_per_capita;profit_bt_per_capita;vacancies;grocery store_norm;pvz_norm;nomadic_education_primary;nomadic_education_main;nomadic_education_high;nomadic_ngo;nomadic_language;nomadic_support;nomadic_firms;2.1.2_healthcare_new;2.1.3_housing_new;2.1.4_sports_new;2.1.7_public_spaces_new;2.1.8_education_new;2.2.1_air_quality_new;2.3.5_suitability_indigenous_binary_new;2.7_crime_experience_binary_new
Ямало-Ненецкий автономный округ;Муниципальный округ Пуровский район;Муниципальный округ Пуровский район;пгт Уренгой;пгт Уренгой (Ямало-Ненецкий автономный округ);пгт;TRUE;FALSE;0;FALSE;2820;3025;5845;65.962754;78.372285;71940000;71940000052;5,81;5,8;4,21;5,03;4,59;56,65;65,48;2,93;12,49;24,04;0,34;1,71;1,0;0,68;1,20;0,51;13,00;36,9;1,0;1,0;5,5;7,6;1,0;1,5;0,2;0,0;0,5;0,0;0,2;0,0;0,2;1,7;3378,6;;;90,9;90,6;0,0;3,8;3,7;64,1;4,2;61,6;0,01;;100,4;1,0;3020,1;18430,1;0,0;0,9;0,0;310,6;1,0;19,0;8588,1;10,4;3043,8;150,5;114,8;4,1;1,2;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Республика Саха (Якутия);Городской округ Город Якутск;Городской округ Город Якутск;село Пригородный;село Пригородный (Республика Саха (Якутия));село;FALSE;FALSE;ОНП;TRUE;1612;1596;3208;61.974596;129.692393;98701000;98701000151;3,96;18,6;2,50;3,59;3,69;29,00;66,67;5,62;0,00;18,31;1,25;19,95;0,5;0,00;0,62;0,00;0,62;2,33;0,0;0,0;8,4;6,0;0,6;0,9;0,0;0,6;0,3;0,3;0,3;0,0;0,3;0,0;0,0;100,0;100,0;27,0;7,6;0,0;4,0;3,6;55,0;4,3;75,4;;1,8;4,5;0,0;2111,9;10962,6;2,0;0;0,0;4,4;1,0;55,8;116,5;6,0;138587,7;9526,4;2,0;0,9;0,0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,7;3,4;3,8;3,9;3,8;3,9;0,7;0,1
Ненецкий автономный округ;Заполярный муниципальный район;Городское поселение рабочий поселок Искателей;рабочий поселок Искателей;рабочий поселок Искателей (Ненецкий автономный округ);рп;TRUE;FALSE;0;TRUE;3526;3740;7266;67.676782;53.1293139;11811000;11811111051;4,99;15,5;3,03;4,24;3,29;26,51;24,52;1,70;2,06;23,68;0,41;2,48;1,0;0,41;1,38;0,41;4,95;1,65;0,0;0,0;12,7;0,1;0,1;0,6;0,0;0,0;0,1;0,0;0,1;0,0;0,1;0,7;2513,6;100,0;89,2;71,9;89,8;0,0;3,6;3,3;68,8;4,1;53,2;0,02;81,5;67,0;1,0;926,1;5000,9;3,3;10,47;1,0;145,7;0,0;95,1;290,9;8,1;4752,7;-856,7;38,0;4,1;1,0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,8;3,7;3,6;3,7;3,8;3,3;0,9;0,2
Ямало-Ненецкий автономный округ;Городской округ город Лабытнанги;Городской округ город Лабытнанги;пгт Харп;пгт Харп (Ямало-Ненецкий автономный округ);пгт;TRUE;FALSE;0;TRUE;3159;1872;5031;66.81003;65.800496;71953000;71953000052;4,41;21,6;4,30;5,11;4,84;47,41;36,36;0,48;0,60;18,34;0,00;1,59;1,0;0,60;0,80;0,40;7,55;10,1;0,0;0,0;8,1;1,6;1,2;1,2;0,2;0,0;0,6;0,0;0,2;0,2;0,2;1,0;4388,4;100,0;47,0;65,6;100,0;1,1;3,8;3,5;60,8;4,1;57,0;0,02;9,9;8,6;1,0;1151,3;4000,3;54,0;5,3;0,0;2,6;1,0;70,6;65,5;22,0;317,3;-47,6;703,7;6,0;1,0;0,00;0,00;0,00;0,20;0,00;;;2,1;2,5;3,0;2,9;3,4;3,8;0,8;0,4
Архангельская область;Пинежский муниципальный район;Карпогорское сельское поселение;село Карпогоры;село Карпогоры (Архангельская область);село;TRUE;FALSE;ОНП;FALSE;1533;1871;3404;64.000907;44.449961;11548000;11548000101;3,04;41,9;2,58;2,97;2,72;37,25;5,31;1,78;13,22;23,73;0,00;3,23;1,0;3,53;3,23;2,06;47,00;3,21;1,0;1,0;20,8;-10,8;2,6;0,0;0,0;0,0;0,0;0,0;0,6;0,0;0,6;2,1;0,0;0,0;50,0;;91,6;1,0;4,0;3,6;63,1;3,8;54,1;0,01;;1,2;0,0;728,1;3852,2;0,9;7,18;0,0;5,0;1,0;1,2;9,3;10,2;322,0;31,8;44,3;6,5;1,5;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Мурманская область;Городской округ город Североморск (ЗАТО);Городской округ город Североморск (ЗАТО);пгт Сафоново;пгт Сафоново (Мурманская область);пгт;TRUE;FALSE;0;TRUE;2107;2198;4305;69.05633;33.292346;47730000;47730000061;2,92;;3,00;3,45;2,91;35,14;0,00;0,00;72,71;22,77;0,00;0,93;0,5;0,00;0,46;0,23;2,32;3,41;0,0;0,0;6,4;4,8;0,9;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,2;1,2;0,0;100,0;69,0;100,0;71,1;0,4;3,7;3,5;65,5;4,0;46,8;0,01;27,6;2,1;1,0;9283,6;1031,3;38,1;3,88;1,0;;1,0;4,0;;3,5;13320,7;1439,5;52,7;1,2;1,4;1,00;1,00;1,00;0,00;0,00;0,00;0,00;3,1;2,5;2,6;2,4;3,4;3,5;0,8;0,3
Архангельская область;Вельский муниципальный район;Городское поселение Кулойское;рп Кулой;рп Кулой (Архангельская область);рп;FALSE;FALSE;ПНП;FALSE;2155;2651;4806;61.030016;42.492807;11605000;11605157051;2,55;38,2;2,34;2,49;2,65;41,91;18,08;0,25;;;0,21;3,95;0,5;0,00;0,21;0,00;0,83;2,27;0,0;0,0;17,7;-9,2;1,5;0,4;0,0;0,0;0,0;0,0;0,2;0,0;0,2;1,0;1578,2;;0,0;100,0;97,8;0,1;3,9;3,5;71,9;4,6;64,1;0,01;12,6;1,3;0,0;2476,4;1005,0;1,3;7,58;1,0;1,3;1,0;6,9;18,1;10,9;79,1;4,0;35,3;3,3;1,2;0,00;0,00;0,00;;;;;;;;;;;;
Архангельская область;Приморский муниципальный район;Уемское сельское поселение;поселок Уемский;поселок Уемский (Архангельская область);поселок;TRUE;FALSE;ПНП;TRUE;2023;2209;4232;64.4757;40.862821;11552000;11552000296;3,40;26,4;2,33;2,78;2,57;35,03;26,47;2,43;3,07;101,58;0,00;2,60;1,0;0,47;1,65;0,24;4,25;9,28;0,0;0,0;15,4;-6,8;0,5;0,2;0,0;0,0;0,0;0,0;0,5;0,0;0,2;0,5;0,0;;100,0;44,4;99,0;0,2;3,9;3,5;69,2;4,2;47,2;0,01;84,8;4,3;0,0;39462,3;1002,7;0,8;3,09;0,0;3,9;1,0;7,0;39,3;7,0;17848,8;1238,1;9,7;3,1;0,5;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,1;2,0;2,6;2,1;2,7;2,9;0,8;0,5
Ямало-Ненецкий автономный округ;Муниципальный округ Красноселькупский район;Муниципальный округ Красноселькупский район;село Красноселькуп;село Красноселькуп (Ямало-Ненецкий автономный округ);село;TRUE;TRUE;0;FALSE;1814;1918;3732;65.705672;82.460046;71933000;71933000101;5,99;15,5;4,41;5,38;5,13;46,42;21,60;2,45;24,65;22,78;0,27;0,00;1,0;1,07;1,61;0,54;20,10;26,3;1,0;0,0;8,4;4,1;0,5;1,1;0,3;0,3;0,5;0,3;0,5;0,3;0,5;1,1;44917,2;0,0;0,7;0,7;80,3;1,3;4,1;3,7;64,3;4,1;60,0;0,02;58,9;91,8;0,5;1068,6;240,9;2,3;0,0;0,0;207,1;0,0;153,3;3054,7;2,6;14746,3;190,1;75,0;5,4;0,0;0,00;0,00;0,00;0,27;30,55;282,82;0,67;2,0;2,1;2,2;1,8;3,1;2,5;0,7;0,2
Республика Коми;Городской округ Ухта;Городской округ Ухта;пгт Водный;пгт Водный (Республика Коми);пгт;FALSE;FALSE;0;TRUE;2083;2594;4677;63.5054457;53.4123097;87525000;87525000061;3,97;22,2;2,26;2,30;2,22;37,91;12,79;0,16;;23,28;0,00;1,71;1,0;0,00;0,43;0,00;1,71;1,09;0,0;0,0;13,2;-4,7;1,9;0,4;0,2;0,0;0,0;0,0;0,2;0,0;0,2;0,2;0,0;25,0;;85,0;3,6;0,0;4,0;3,6;65,1;4,1;54,3;0,00;0,4;10,3;0,0;12347,0;79,4;53,0;13,66;1,0;13,5;1,0;34,3;115,8;2,6;95,8;7,0;7,0;4,7;0,9;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
