territory_id;year;migration_balance;total_population;migration_rate;region;municipality_up_name;municipality_down_name;settlement_name;settlement_name_sep;type;arctic;remote;special;suburb;pop_men;pop_women;pop_total;latitude;longitude;mun_oktmo;sett_oktmo;wage_average;social_share;kindergarden_salary;school_salary;culture_salary;housing_depreciation;emergency_housing;building_construction_space;families_improve;space_per_capita;dtp_deaths_norm;dtp_injury_norm;primary_avaiability;dentists;terapists;pediatricians;support_staff;comments_health_perc;aviation_sun;aviation_center;death_rate;natural_growth;sport_facilities;sport_halls;sport_pools;sport_stadiums;sport_gym;cinemas;libraries;theatres;culture_centers;catering;improving_facilities;disabled_transport;disabled_buildings;lighting;kindergardens_availability;certificate_fail;russian_oge;math_oge;russian_ege;math_ege_base;math_ege_plus;spendings_per_schoolar;additional_education;ecology_spending;ecology_projects;emissions_all;emissions_first;emissions_second;comments_eco_perc;ecology_polygon;investments_per_capita;retail_federal;loss_results;gain_results;unemployed;revenue_per_capita;profit_bt_per_capita;vacancies;grocery store_norm;pvz_norm;nomadic_education_primary;nomadic_education_main;nomadic_education_high;nomadic_ngo;nomadic_language;nomadic_support;nomadic_firms;2.1.2_healthcare_new;2.1.3_housing_new;2.1.4_sports_new;2.1.7_public_spaces_new;2.1.8_education_new;2.2.1_air_quality_new;2.3.5_suitability_indigenous_binary_new;2.7_crime_experience_binary_new;municipality_up_name_actual;avg_consumption_all;consumption_здоровье;consumption_маркетплейсы;consumption_общественное_питание;consumption_продовольствие;consumption_транспорт;market_access
209;2023;12.0;12905.0;0.9298721425803952;Республика Карелия;Калевальский муниципальный район;Калевальское городское поселение;пгт Калевала;пгт Калевала (Республика Карелия);пгт;True;False;ОНП;False;1640.0;1886.0;3526;65.198963;31.18701;86609000;86609151051;2,62;41,7;2,54;2,48;1,84;36,54;20,83;2,77;9,36;38,50;0,00;1,42;1,0;0,85;0,57;0,57;15,60;0,69;1,0;0,0;21,1;-13,2;5,7;1,4;0,0;0,0;0,0;0,3;2,0;0,0;1,7;3,7;1793,8;0,0;80,0;71,4;60,2;0,0;3,9;3,6;63,2;4,2;55,4;0,01;74,9;1,6;0,0;294,0;1,9;0,0;14,53;0,0;0,2;1,0;6,5;60,0;18,4;470,3;-17,2;47,5;6,0;0,9;0,00;0,00;0,00;0,00;66,36;0,00;0,00;;;;;;;;;Калевальский муниципальный район;32164.666666666668;1194.8333333333333;4472.666666666667;627.4166666666666;15562.083333333334;2376.9166666666665;234.5
213;2023;-43.0;22830.0;-1.8834866403854578;Республика Карелия;Лоухский муниципальный район;Лоухское городское поселение;пгт Лоухи;пгт Лоухи (Республика Карелия);пгт;True;False;ОНП;False;1680.0;2029.0;3709;66.074149;33.044785;86621000;86621151051;3,55;41,1;1,94;2,48;2,11;25,72;28,71;0,98;;36,27;0,27;1,62;1,0;1,08;0,00;0,27;0,00;5,33;0,0;0,0;25,9;-19,5;3,5;0,8;0,0;0,0;0,3;0,0;0,3;0,3;0,3;3,0;1,1;0,0;;;69,6;0,9;;;;;;0,01;71,4;0,4;0,0;475,1;3,9;3,1;17,94;0,0;0,9;1,0;10,8;153,6;;253,8;3,9;;5,4;0,8;0,00;0,00;0,00;0,00;0,00;;;2,5;2,3;3,3;2,9;3,1;3,8;0,9;0,4;Лоухский муниципальный район;32331.333333333332;1250.3333333333333;4965.083333333333;556.1666666666666;15302.916666666666;1606.6666666666667;234.7
221;2023;-106.0;68963.0;-1.537056102547743;Республика Карелия;Сегежский муниципальный район;Надвоицкое городское поселение;пгт Надвоицы;пгт Надвоицы (Республика Карелия);пгт;True;False;ПНП;True;2990.0;3080.0;6070;63.890971;34.261178;86545000;86545000052;2,75;39,5;2,41;2,29;1,52;51,62;36,03;0,00;0,00;29,98;0,00;1,48;1,0;0,33;0,49;0,33;2,97;7,12;0,0;0,0;19,3;-12,5;0,3;0,2;0,2;0,0;0,3;0,2;0,2;0,2;0,3;0,8;731,5;100,0;60,0;80,0;80,9;0,0;3,6;3,2;65,9;3,8;52,4;;83,7;8,8;0,0;11146,0;0,9;66,0;11,99;0,0;8,3;1,0;38,5;208,7;13,1;524,9;-10,3;97,7;3,6;0,7;0,00;0,00;0,00;0,49;0,00;0,00;0,16;;;;;;;;;Сегежский муниципальный округ;30401.083333333332;1036.9166666666667;4044.4166666666665;873.0833333333334;13954.5;1351.5;256.2
225;2023;-2.0;142219.0;-0.01406281861073415;Республика Коми;Городской округ Воркута;Городской округ Воркута;пгт Северный;пгт Северный (Республика Коми);пгт;True;True;0;True;1812.0;1848.0;3660;67.60106873;64.10110798;87710000;87710000091;4,43;23,4;3,04;3,91;;42,44;25,35;0,00;;39,85;0,00;1,64;1,0;0,00;0,55;0,00;2,46;5;0,0;0,0;11,1;-2,8;1,4;0,3;0,0;0,0;0,3;0,0;0,3;0,0;0,3;0,3;891,0;;;;3,8;1,4;3,9;3,5;59,3;3,7;53,7;0,01;0,0;6,5;0,0;100668,3;7,5;0,3;2,73;0,0;5,7;1,0;19,8;123,0;6,2;199,6;13,3;9,8;6,0;0,5;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;Городской округ Воркута;40023.333333333336;1480.9166666666667;4240.666666666667;1911.4166666666667;15358.5;1240.4166666666667;208.0
225;2023;-2.0;142219.0;-0.01406281861073415;Республика Коми;Городской округ Воркута;Городской округ Воркута;пгт Воргашор;пгт Воргашор (Республика Коми);пгт;True;True;0;True;3194.0;3359.0;6553;67.5829543;63.7982355;87710000;87710000056;4,43;23,4;3,04;3,46;;36,40;20,75;0,00;;45,95;0,61;1,53;1,0;0,31;0,76;0,00;3,36;3,38;0,0;0,0;11,1;-2,8;0,3;0,2;0,2;0,0;0,0;0,2;0,2;0,0;0,2;0,3;1016,8;;;;3,8;0,8;4,1;3,4;64,7;4,1;54,0;0,01;0,9;6,5;0,0;81152,9;3,8;0,1;3,38;0,0;5,7;1,0;19,8;123,0;8,8;63,1;24,7;44,7;5,5;0,6;0,00;0,00;0,00;0,00;0,00;;;1,5;1,8;1,7;2,0;2,3;3,1;0,2;0,4;Городской округ Воркута;40023.333333333336;1480.9166666666667;4240.666666666667;1911.4166666666667;15358.5;1240.4166666666667;208.0
243;2023;-108.0;22341.0;-4.834161407278098;Республика Коми;Муниципальный район Усть-Цилемский;Сельское поселение Усть-Цильма;село Усть-Цильма;село Усть-Цильма (Республика Коми);село;True;True;ОНП;False;2035.0;2296.0;4331;65.4424623;52.1544605;87652000;87652440101;2,65;47,8;2,42;2,95;;34,78;5,08;1,33;2,77;;0,00;3,46;1,0;1,15;1,39;0,92;24,01;10,53;1,0;0,0;17,5;-7,2;2,3;0,7;0,0;0,2;0,2;0,0;0,5;0,0;0,3;0,7;;0,0;;100,0;42,7;0,6;3,8;3,5;62,4;4,3;53,4;0,01;34,7;1,5;0,0;1162,3;0,9;0,1;9,21;1,0;0,7;1,0;1,2;3,8;16,1;87,6;10,6;94,2;2,8;1,8;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;Усть-Цилемский муниципальный район;25579.75;1041.1666666666667;2229.1666666666665;391.8333333333333;12940.083333333334;1535.9166666666667;228.3
318;2023;-98.0;7943.0;-12.33790759159008;Республика Саха (Якутия);Верхнеколымский муниципальный район;Городское поселение Поселок Зырянка;пгт Зырянка;пгт Зырянка (Республика Саха (Якутия));пгт;True;False;ОНП;False;1183.0;1338.0;2521;65.734019;150.895285;98615000;98615151051;3,70;44,9;2,97;5,41;2,95;54,26;78,31;3,56;72,99;30,39;0,00;0,40;1,0;0,40;1,59;0,79;15,07;33,33;1,0;0,0;12,5;-2,6;0,4;0,8;0,0;0,0;0,0;0,0;0,8;0,4;0,4;0,4;0,4;0,0;90,0;100,0;100,0;0,0;3,3;3,2;26,0;3,5;9,6;;63,0;6,3;0,0;1174,0;0,4;0,4;0;1,0;0,8;1,0;0,6;102,3;15,1;1100,3;122,2;38,8;13,5;0,0;0,00;0,00;0,00;0,00;9,12;259,42;0,00;;;;;;;;;Верхнеколымский муниципальный район;48686.833333333336;2089.5;1295.8333333333333;897.4166666666666;24612.416666666668;1633.75;121.8
341;2023;-206.0;14244.0;-14.462229710755405;Республика Саха (Якутия);Усть-Янский муниципальный район;Городское поселение Поселок Депутатский;пгт Депутатский;пгт Депутатский (Республика Саха (Якутия));пгт;True;False;ОНП;False;1215.0;1375.0;2590;69.340713;139.949957;98656000;98656151051;3,69;25,3;3,60;4,56;3,90;19,00;0,00;0,00;9,65;29,30;0,00;0,39;1,0;0,77;1,54;0,77;15,83;0;0,0;1,0;13,6;0,5;0,0;0,0;0,4;0,0;0,8;0,0;0,4;0,0;0,4;0,4;0,0;0,0;4,5;100,0;70,2;0,0;3,0;2,5;58,3;2,9;42,4;0,00;94,9;4,4;0,0;0,3;0,0;0,0;21,43;0,0;2,3;0,0;4,3;97,0;8,3;1102,0;106,2;4,2;3,5;0,0;0,00;0,00;0,00;1,54;0,00;18,52;0,00;;;;;;;;;Усть-Янский муниципальный район;45234.333333333336;1221.1666666666667;1254.6666666666667;1177.3333333333333;19088.916666666668;1007.6666666666666;119.2
686;2023;1558.0;84825.0;18.36722664308871;Ханты-Мансийский автономный округ - Югра;Березовский муниципальный район;Городское поселение Березово;пгт Березово;пгт Березово (Ханты-Мансийский автономный округ - Югра);пгт;True;False;0;False;2905.0;3506.0;6411;63.936763;65.043246;71812000;71812151051;4,40;29,3;3,38;3,96;2,26;45,99;37,00;2,30;16,22;33,83;0,00;3,12;1,0;0,62;1,72;0,62;18,09;5,29;1,0;1,0;11,8;-1,4;1,1;0,9;0,2;0,0;0,2;0,2;0,3;0,0;0,2;1,4;1121,4;100,0;77,0;100,0;92,9;0,9;3,9;3,3;63,4;3,6;51,3;0,01;73,8;6,3;0,0;514,6;39,9;0,8;7,37;0,0;1,2;1,0;12,7;10,2;16,5;149,0;16,1;62,5;4,2;0,8;0,00;0,00;0,00;0,00;0,00;63,39;0,70;;;;;;;;;Березовский муниципальный район;27433.5;1360.75;2720.5833333333335;1124.9166666666667;11670.583333333334;1911.25;222.9
686;2023;1558.0;84825.0;18.36722664308871;Ханты-Мансийский автономный округ - Югра;Березовский муниципальный район;Городское поселение Игрим;пгт Игрим;пгт Игрим (Ханты-Мансийский автономный округ - Югра);пгт;True;False;0;False;3398.0;3848.0;7246;63.193915;64.426327;71812000;71812154051;4,40;29,3;3,38;3,96;2,21;56,76;41,12;0,94;9,11;36,67;0,00;1,66;1,0;0,83;1,24;0,41;15,46;2,56;1,0;0,0;11,8;-1,4;0,4;1,4;0,1;0,0;0,0;0,1;0,3;0,0;0,3;0,6;1873,6;100,0;59,0;100,0;95,2;2,5;3,8;3,3;64,6;4,0;53,1;0,01;72,3;6,3;0,0;214,2;0,1;0,1;8,97;0,0;1,2;1,0;12,7;10,2;15,9;78,6;1,3;19,2;4,1;0,8;0,00;0,00;0,00;0,00;0,00;10,05;0,14;3,4;3,6;2,9;3,2;3,1;3,0;1,0;0,2;Березовский муниципальный район;27433.5;1360.75;2720.5833333333335;1124.9166666666667;11670.583333333334;1911.25;222.9
